"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
Anbure,4618646287,"FAC/2026/7393",Yes,Karnataka,Davanagere,Jagalur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Anchala      ",2246847665,"FAC/2026/10356",Yes,Odisha,Koraput,Borigumma,"Sub Center","Onergy Solar",HEALTH,0,0,0
Anchatageri,7521211461,"FAC/2025/4304",Yes,Karnataka,Dharwad,Hubballi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Anchechomanahalli,8757455822,"FAC/2026/6468",Yes,Karnataka,Chikkamagaluru,Kaduru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Andagaru,2728187283,"FAC/2026/6469",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Andalgaon,7641384248,"FAC/2026/10611",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Andanur,6685368729,"FAC/2026/7292",Yes,Karnataka,Chitradurga,Holalkere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Andavalli,8811638587,"FAC/2025/6052",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Andgi,6235577886,"FAC/2025/6172",Yes,Karnataka,UttaraKannada,Sirsi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Andharkona,"mg-0076","FAC/2025/1565",Yes,Meghalaya,SouthWestGaroHills,Betasing,"Health and Wellness Center",ERES,HEALTH,0,0,0
Andherighat,2417767775,"FAC/2025/0649",Yes,Assam,Darrang,Sipajhar,"Primary Health Center","Renesys Power Systems",HEALTH,0,0,0
Andige,6513531712,"FAC/2025/6053",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Andle,7853353832,"FAC/2025/6121",Yes,Karnataka,UttaraKannada,Ankola,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Andola,4131342117,"FAC/2025/4795",Yes,Karnataka,Kalaburagi,Jevargi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Anegadde,6226123310,"FAC/2025/5958",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Anekal Government General Hospital",5543737745,"FAC/2025/4514",Yes,Karnataka,BengaluruRural,Anekal,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Anekonda,7765382374,"FAC/2026/7434",Yes,Karnataka,Davanagere,Davanagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Anelih,5445115552,"FAC/2026/8683",Yes,"Arunachal Pradesh",DibangValley,AnelihArzoo,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Anepura,1882643826,"FAC/2026/6920",Yes,Karnataka,Kolar,Malur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
Angadi,3348721386,"FAC/2025/4717",Yes,Karnataka,Uttarakannada,Karwar,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Angapada,7411521656,"FAC/2025/3274",Yes,Odisha,Angul,Boinda,"Primary Health Center","Solar Infra",HEALTH,0,0,0
Angara,1121366189,"FAC/2026/10556",Yes,Maharashtra,Gadchiroli,Kurkheda,"Primary Health Unit","Devidayal Solar",HEALTH,0,0,0
Angod,1843585389,"FAC/2025/6179",Yes,Karnataka,UttaraKannada,Yellapur,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Angtha,6334674543,"FAC/2025/1827",Yes,Manipur,ImphalEast,KeiraoBitra,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
Angul,2488842150,"FAC/2025/3273",Yes,Odisha,Angul,Angul,"Urban Primary Health Center","Solar Infra",HEALTH,0,0,0
Angulia,3463766679,"FAC/2025/0858",Yes,Assam,Baksa,Jalah,"Sub Center",ERES,HEALTH,0,0,0
Anivala,8473527458,"FAC/2026/7293",Yes,Karnataka,Chitradurga,Hosadurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Anjaneri,1117142545,"FAC/2025/5541",Yes,Maharashtra,Nasik,Trimbakeshwar,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Anjutagi,8625464584,"FAC/2025/3512",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ankalaga,5427383855,"FAC/2025/4786",Yes,Karnataka,Kalaburagi,Jevargi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Ankalagi-Gokak",4214648760,"FAC/2025/5141",Yes,Karnataka,Belagavi,Gokak,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Ankalagi-Vijayapura",4785544323,"FAC/2025/3511",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ankale,2910010001,"FAC/2025/4009",Yes,Karnataka,Belagavi,Belagavi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ankalga,3411146511,"FAC/2025/3824",Yes,Karnataka,Kalaburagi,Afzalpur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ankanahalli,6643465443,"FAC/2026/6415",Yes,Karnataka,Kodagu,Somwarpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Ankarbari,2364428587,"FAC/2025/0920",Yes,Assam,Chirang,Sidli,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
Ankushdoddi,5833588568,"FAC/2025/5281",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Annahosur,5266882389,"FAC/2025/5259",Yes,Karnataka,Raichur,Lingasugur,"Community Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,5,5
Annapur,5625551576,"FAC/2026/10618",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Annapura,8452358735,"FAC/2026/7435",Yes,Karnataka,Davanagere,Davanagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Annehal,6885441540,"FAC/2026/7294",Yes,Karnataka,Chitradurga,Chitradurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Anner Y SC HWC",IN1310000651,"FAC/2025/6278",Yes,Nagaland,Tuensang,Chessore,"Health and Wellness Center","A and D Solar",HEALTH,0,0,0
Annigere,4652872831,"FAC/2026/6470",Yes,Karnataka,Chikkamagaluru,Kaduru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Annur,6718375865,"FAC/2025/5250",Yes,Karnataka,Mysuru,Annuru,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Anogre,"mg-0022","FAC/2025/1619",Yes,Meghalaya,WestGaroHills,Rongram,"Health and Wellness Center",ERES,HEALTH,0,1,1
"Anta      ",6341863865,"FAC/2026/10394",Yes,Odisha,Koraput,Jeypore,"Sub Center","Onergy Solar",HEALTH,0,0,0
Antaragangi,2782473249,"FAC/2025/5431",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Antargaon,7337772664,"FAC/2025/5606",Yes,Maharashtra,Chandrapur,Saoli,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Anthaibari,3746833148,"FAC/2025/0745",Yes,Assam,Kokrajhar,Kachugaon,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Antur Bentur",8117311160,"FAC/2025/3884",Yes,Karnataka,Gadag,Gadag,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Anugondanahally,4528385372,"FAC/2025/4214",Yes,Karnataka,BengaluruRural,Hosakote,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Anujuli,2766754440,"FAC/2025/0735",Yes,Assam,Kokrajhar,Balajan,"Health and Wellness Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Anupgadh,1226223327,"FAC/2025/2368",Yes,Gujarat,Banaskantha,Dhanera,"Primary Health Center","Renesys Power Systems",HEALTH,0,0,0
Anuvanahalli,1578144485,"FAC/2026/6471",Yes,Karnataka,Chikkamagaluru,Tarikere,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"Anwari PHC",6368441769,"FAC/2025/5432",Yes,Karnataka,Raichur,Lingasugur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,5,5
"Aongza SC",IN1310000501,"FAC/2025/1997",Yes,Nagaland,Mokokchung,Ongpangkong,"Sub Center","A and D Solar",HEALTH,0,0,0
"Aosenden HWC",IN1310000572,"FAC/2025/1989",Yes,Nagaland,Mokokchung,Tsurangkong,"Health and Wellness Center","A and D Solar",HEALTH,0,1,1
"Aoyimkum HWC",IN1310000477,"FAC/2025/2110",Yes,Nagaland,Dimapur,Dimapur,"Health and Wellness Center","Aboriginal Energy",HEALTH,0,307,307
"Aoyimti HWC",IN1310000185,"FAC/2025/6268",Yes,Nagaland,Dimapur,Dimapur,"Health and Wellness Center","Aboriginal Energy",HEALTH,0,0,0
Aptale,4324748138,"FAC/2026/10587",Yes,Maharashtra,Pune,Junnar,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
"Apukito SC",IN1310000774,"FAC/2025/2086",Yes,Nagaland,Zunheboto,Atoizu,"Sub Center","Aboriginal Energy",HEALTH,0,0,0
Arabail,3843642277,"FAC/2025/6180",Yes,Karnataka,UttaraKannada,Yellapur,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Arabhikottanuru,4772841369,"FAC/2026/6900",Yes,Karnataka,Kolar,Kolar,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aradonga,"mg-0531","FAC/2025/1118",Yes,Meghalaya,WestKhasiHills,Mawshynrut,"Primary Health Center",ERES,HEALTH,0,0,0
Arahalli,1514553419,"FAC/2025/5304",Yes,Karnataka,Raichur,Sindhanur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Arahalli,1883856336,"FAC/2026/6907",Yes,Karnataka,Kolar,Kolar,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Arahatholalu,1852288479,"FAC/2025/5950",Yes,Karnataka,Shivamogga,Bhadravathi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Arakera J",6652882868,"FAC/2025/4268",Yes,Karnataka,Yadgir,Shorapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Arakere,8182183445,"FAC/2025/5945",Yes,Karnataka,Shivamogga,Bhadravathi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Arakeri,2632221236,"FAC/2025/4153",Yes,Karnataka,Bagalkote,Bilagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Aralasurali A",1742588377,"FAC/2025/6081",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Aralasurali B",8464461667,"FAC/2025/6082",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Araleri,5478283350,"FAC/2026/6913",Yes,Karnataka,Kolar,Malur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aralihalli,5633213128,"FAC/2025/5944",Yes,Karnataka,Shivamogga,Bhadravathi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Aralihatti,8244376532,"FAC/2025/4372",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aralikatte,1618786741,"FAC/2026/7394",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aralikatti,2844686168,"FAC/2025/4377",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Arameri,4436758264,"FAC/2026/6416",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Aranalo,7466646242,"FAC/2026/8470",Yes,"Arunachal Pradesh",UpperSubansiri,GiteRipa,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Arasalu,2213523356,"FAC/2025/5959",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Arasiker Taluk Hospital",7873118462,"FAC/2025/4481",Yes,Karnataka,Hassan,Arasiker,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aravatagi,3378631471,"FAC/2025/4309",Yes,Karnataka,Dharwad,Dharwad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Areboppanahalli,6167112264,"FAC/2026/6314",Yes,Karnataka,Mandya,Krishnarajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Arekad,5388726183,"FAC/2026/6587",Yes,Karnataka,Kodagu,Madekeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Arheranwargaon,5687672344,"FAC/2025/5617",Yes,Maharashtra,Chandrapur,Brahmapuri,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Arishinagatta,4388311831,"FAC/2026/7436",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Arji,2136688740,"FAC/2026/6417",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Arjunwada,7867761632,"FAC/2025/5148",Yes,Karnataka,Belagavi,Hukkeri,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Aroli,3178772582,"FAC/2025/5367",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Artagall,7756764663,"FAC/2025/5920",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Aruakgre,"mg-0007","FAC/2025/1634",Yes,Meghalaya,NorthGaroHills,Resubelpara,"Health and Wellness Center",ERES,HEALTH,0,0,0
Arundi,1175662319,"FAC/2026/7395",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aruvanahalli,1777427855,"FAC/2026/7076",Yes,Karnataka,Hassan,Channarayapatna,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
Asali,1115218289,"FAC/2026/8890",Yes,"Arunachal Pradesh","Lower Dibang Valley","Roing - Koronu","Sub Center","Bharti Sharma",HEALTH,0,0,0
Asangi,4612844375,"FAC/2025/5847",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Asaralli,1121367419,"FAC/2026/10557",Yes,Maharashtra,Gadchiroli,Sironcha,"Primary Health Unit","Devidayal Solar",HEALTH,0,0,0
Asharikandi,1561452564,"FAC/2025/0824",Yes,Assam,Kokrajhar,Gossaigaon,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Ashok Nagar Khanapur",1435881840,"FAC/2025/5135",Yes,Karnataka,Belagavi,Khanapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Ashokasiddapura,2516552367,"FAC/2025/4985",Yes,Karnataka,Chitradurga,Molakalmuru,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Ashokasiddapura B",7317778657,"FAC/2026/7295",Yes,Karnataka,Chitradurga,Molkalmuru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Ashtoor,6158886363,"FAC/2025/5938",Yes,Karnataka,Bidar,Bidar,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Asil,"mg-0247","FAC/2025/1397",Yes,Meghalaya,Eastgarohills,Songsak,"Health and Wellness Center",ERES,HEALTH,0,1,1
Asinagre,"mg-0535","FAC/2026/10647",Yes,Meghalaya,SouthGaroHills,Chokpot,"Health and Wellness Center",ERES,HEALTH,0,0,0
"Assam Lingey",IN1110000172,"FAC/2025/2157",Yes,Sikkim,Pakyong,Pakyong,"Health and Wellness Center",ERES,HEALTH,0,2,2
Asu,4313874721,"FAC/2025/6149",Yes,Karnataka,UttaraKannada,Joida,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Asukhomi SC",IN1310000805,"FAC/2025/2085",Yes,Nagaland,Zunheboto,Sadar,"Sub Center","Aboriginal Energy",HEALTH,0,0,0
"Asukhuto SC HWC",IN1310000640,"FAC/2025/2084",Yes,Nagaland,Zunheboto,"Zunheboto Sadar","Health and Wellness Center","Aboriginal Energy",HEALTH,0,2,2
"Asukiqa HWC",IN1310000821,"FAC/2025/2083",Yes,Nagaland,Zunheboto,Pughoboto,"Health and Wellness Center","Aboriginal Energy",HEALTH,0,1,1
"Atanda      ",4485157863,"FAC/2026/10474",Yes,Odisha,Koraput,Nandpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
Atanoor,2355155272,"FAC/2025/4783",Yes,Karnataka,Kalaburagi,Afzalpur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Atengba,1417121181,"FAC/2025/1692",Yes,Manipur,Tamenglong,Tousem,"Sub Center","DKK3 Sons",HEALTH,0,1,1
"Athani Taluk General Hospital",3753881345,"FAC/2025/4512",Yes,Karnataka,Belagavi,Athani,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Atharga,5638358282,"FAC/2025/4578",Yes,Karnataka,Vijayapura,Indi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
"Athiabari 2",17296030201,"FAC/2026/8116",Yes,Meghalaya,WestKhasiHills,Mawshynrut,Anganwadi,ERES,ANGANWADI,0,0,0
"Athiabari-Dotoma",7752347463,"FAC/2025/0788",Yes,Assam,Kokrajhar,Dotoma,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
"Athiaboi Bonmaja",4886514571,"FAC/2025/0105",Yes,Assam,Kamrup,Bezera,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Athkhelia,4676458567,"FAC/2025/0282",Yes,Assam,Golaghat,"Golaghat East","Mini Primary Health Center","GCEP Solar Pvt Ltd",HEALTH,0,0,0
Athnoor,8147537289,"FAC/2025/5423",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Athokpam,4541251551,"FAC/2026/7139",Yes,Manipur,Thoubal,Thoubal,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
Athukur,6221166561,"FAC/2025/5405",Yes,Karnataka,Raichur,Raichur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Athvadi,8831254472,"FAC/2025/5990",Yes,Karnataka,Shivamogga,Sagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Atiabari,8746527665,"FAC/2025/0931",Yes,Assam,Chirang,Sidli,"Health and Wellness Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
"Atterikhat TE Hospital",3444475234,"FAC/2025/1032",Yes,Assam,Udalguri,Khoirabari,"Primary Health Center",ERES,HEALTH,0,0,0
Atthighatta,2541321713,"FAC/2026/7296",Yes,Karnataka,Chitradurga,Hosadurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Aurad Government Hospital",5278748552,"FAC/2025/4503",Yes,Karnataka,Bidar,Aurad,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,2,2
"Austin Town M H",1116675412,"FAC/2025/4180",Yes,Karnataka,Bengaluruurban,"Bengaluru East","Maternity Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
"Avakhung SC",IN1310001189,"FAC/2025/2055",Yes,Nagaland,Phek,Meluri,"Sub Center","Aboriginal Energy",HEALTH,0,0,0
Avalahalli,1115785220,"FAC/2026/7619",Yes,Karnataka,"Bengaluru Urban","Bengaluru East","Urban Primary Health Center","A and D Solar",HEALTH,0,0,0
Avaradhi,6531571617,"FAC/2025/4008",Yes,Karnataka,Belagavi,Gokak,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Avaradi,5661562313,"FAC/2025/4031",Yes,Karnataka,Belagavi,Ramdurg,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Avardi,3363846662,"FAC/2025/4030",Yes,Karnataka,Belagavi,Bailhongal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Awalmari,1121364176,"FAC/2026/10558",Yes,Maharashtra,Gadchiroli,Aheri,"Primary Health Unit","Devidayal Solar",HEALTH,0,0,0
"Awang Kasom",2833454347,"FAC/2025/1665",Yes,Manipur,Ukhrul,Ukhrul,"Health and Wellness Center",MANGAAL,HEALTH,0,1,1
"Awang Kumbi",2131451334,"FAC/2026/7140",Yes,Manipur,Bishnupur,Moirang,"Health and Wellness Center",MANGAAL,HEALTH,0,0,0
"Awang Wabagai",4638757411,"FAC/2025/1790",Yes,Manipur,ImphalWest,Haorangsabal,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,1,1
"Awasari Kh",1123642611,"FAC/2026/10585",Yes,Maharashtra,Pune,Ambegaon,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
"Awrad B",4356818643,"FAC/2025/4839",Yes,Karnataka,Kalaburagi,Kalaburagi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Awro,17298277311,"FAC/2026/8121",Yes,Meghalaya,SouthWestKhasiHills,Mawkyrwat,Anganwadi,ERES,ANGANWADI,0,0,0
Ayeng,6567368821,"FAC/2026/8577",Yes,"Arunachal Pradesh",EastSiang,Mebo,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Ayingmoring,3153152727,"FAC/2026/8483",Yes,"Arunachal Pradesh",UpperSubansiri,Nacho,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
"Ayodhya Nagar",3262484342,"FAC/2025/4962",Yes,Karnataka,Dharwad,Hubli,"Urban Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Ayush Niji",1115224345,"FAC/2026/8654",Yes,"Arunachal Pradesh",Kamle,Gepen,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
"Ayush Yattap",4853861286,"FAC/2026/8655",Yes,"Arunachal Pradesh",Kamle,Kamporijo,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
Ayyangeri,7637352480,"FAC/2026/6590",Yes,Karnataka,Kodagu,Madekeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Azad,4482467224,"FAC/2025/0343",Yes,Assam,Lakhimpur,Nowboicha,"State Dispensary","GCEP Solar Pvt Ltd",HEALTH,0,0,0
"Azailong PHC",IN1310000042,"FAC/2025/2098",Yes,Nagaland,Peren,Tening,"Primary Health Center","Aboriginal Energy",HEALTH,0,0,0
Azalapur,4387753231,"FAC/2025/4531",Yes,Karnataka,Yadgir,Gurmithkal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
"B Bhejaput      ",5485363443,"FAC/2026/10407",Yes,Odisha,Koraput,Koraput,"Sub Center","Onergy Solar",HEALTH,0,0,0
"B Chittanahalli",7815714485,"FAC/2026/7438",Yes,Karnataka,Davanagere,Davanagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"B Ganekal",7786353420,"FAC/2025/5468",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"B K Halli",8768128715,"FAC/2026/7011",Yes,Karnataka,Tumkur,Pavagada,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"B Kodihalli",7454446142,"FAC/2026/6964",Yes,Karnataka,Tumkur,Gubbi,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"B Marched",4525338788,"FAC/2025/5365",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"B Salawadgi",3364735864,"FAC/2025/3510",Yes,Karnataka,Vijayapura,Talikoti,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"B Savadatti",7661472485,"FAC/2025/5904",Yes,Karnataka,Belagavi,Raybag,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"BG Para",8113226123,"FAC/2026/6321",Yes,Karnataka,Mandya,Malavalli,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
BHAINRIPALI,6877381666,"FAC/2026/7974",Yes,Odisha,Kalahandi,Jaypatna,"Ayurvedic Hospital","Onergy Solar",HEALTH,0,1,1
"Babalad-Kalaburagi",2274243845,"FAC/2025/3823",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Babalad-indi",4333724765,"FAC/2025/3509",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Babanagar,4164855480,"FAC/2025/3508",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Babuniktimal,1111346471,"FAC/2025/3268",Yes,Odisha,Sambalpur,Bamra,"Primary Health Center","Onergy Solar",HEALTH,0,0,0
Bachanaki,2416438477,"FAC/2025/6157",Yes,Karnataka,UttaraKannada,Mundgod,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Bachegowdanahalli,4158756785,"FAC/2026/7588",Yes,Karnataka,Mysuru,"H D Kote","Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Bada B",2828726436,"FAC/2026/7439",Yes,Karnataka,Davanagere,Davanagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Badabahal,4532768761,"FAC/2025/3267",Yes,Odisha,Sambalpur,Kuchinda,"Sub Center","Onergy Solar",HEALTH,0,0,0
Badagandi,4428571774,"FAC/2025/4152",Yes,Karnataka,Bagalkote,Bilagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Badagi,3127482846,"FAC/2025/4409",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Badagi,3437747615,"FAC/2025/5831",Yes,Karnataka,Bagalkote,Bilagi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,1,1
Badahpur,7166877576,"FAC/2025/0034",Yes,Assam,Goalpara,Agia,"Mini Primary Health Center",ERES,HEALTH,0,0,0
Badak,6312615716,"FAC/2026/8407",Yes,"Arunachal Pradesh",Leparada,Tirbin,"Sub Center","Bharti Sharma",HEALTH,0,0,0
